origin_vert,dest_vert,hour,origin_coord,dest_coord,tnc_time_min,tnc_cost,tnc_buffer_time,tnc_buffer_cost,tnc_buffer_distance_mi,flight_time_min,uam_total_cost,uam_total_time,tnc_avg_time,utility_uam,utility_tnc,Puam,Ptnc
LAX,ANH,9,"(33.94417072663332, -118.40248449470265)","(33.84464405194965, -117.90546271033686)",38.1,77,11.883333333333333,5.915838277874,2.3663353111496,15,92.915838277874,39.38333333333333,52,-11.260750494454067,-10.3,0.2767279585469868,0.7232720414530132
LAX,PSD,12,"(33.94417072663332, -118.40248449470265)","(34.13053110459639, -118.53647997155251)",45.5,57,53.18333333333333,7.591728158707016,3.0366912634828065,10,46.591728158707014,75.68333333333334,47,-8.443339482537368,-8.05,0.4029136474171832,0.5970863525828168
LAX,HWD,0,"(33.94417072663332, -118.40248449470265)","(34.11748516918767, -118.26585663481808)",35.916666666666664,57,19.85,9.855084532730046,3.9420338130920185,10,42.85508453273005,42.35,45,-6.403008453273005,-7.95,0.8244787929006792,0.17552120709932084
LAX,UVS,9,"(33.94417072663332, -118.40248449470265)","(34.115735421811245, -118.35164350193766)",42.85,57,15.65,3.9423682608036605,1.5769473043214641,10,45.94236826080366,38.15,45,-6.501736826080366,-7.95,0.8097309908368521,0.1902690091631479
LAX,PSD,10,"(33.94417072663332, -118.40248449470265)","(34.12113977887095, -118.59268041060758)",47.166666666666664,57,31.683333333333334,8.29330815431576,3.317323261726304,10,47.29330815431576,54.18333333333334,47,-7.438497482098244,-8.05,0.6482834704926304,0.3517165295073696
LAX,BVH,9,"(33.94417072663332, -118.40248449470265)","(34.10840191798023, -118.3861991291978)",44.45,45,23.516666666666666,8.049845999093224,3.2199383996372895,10,33.54984599909322,46.016666666666666,29,-5.6558179332426555,-5.95,0.5730196624465743,0.4269803375534256
LAX,ANH,11,"(33.94417072663332, -118.40248449470265)","(33.782190076964525, -117.89340427696884)",40.68333333333333,77,10.283333333333333,6.348213407112659,2.5392853628450633,15,93.34821340711265,37.78333333333333,52,-11.223988007377931,-10.3,0.2841460076488202,0.7158539923511797
LAX,BVH,12,"(33.94417072663332, -118.40248449470265)","(34.11412713483153, -118.44519667464071)",31.416666666666668,45,11.7,9.502524267983711,3.8010097071934843,10,35.00252426798371,34.2,29,-5.210252426798371,-5.95,0.6769406549818019,0.32305934501819816
LAX,LGB,4,"(33.94417072663332, -118.40248449470265)","(33.782144544263645, -118.14176472852336)",28.05,62,8.766666666666667,5.99072890485136,2.396291561940544,15,56.99072890485136,36.266666666666666,34,-7.51240622381847,-7.9,0.5957033159481707,0.4042966840518292
LAX,BVH,17,"(33.94417072663332, -118.40248449470265)","(34.07483711423171, -118.40851921680043)",30.433333333333334,45,3.5166666666666666,1.468146028109473,0.5872584112437892,10,26.968146028109473,26.016666666666666,29,-3.997647936144281,-5.95,0.8757028840309496,0.12429711596905037
