trip_id,origin_block_group,origin_tract,origin_county,origin_st_2020,destination_block_group,destination_tract,destination_county,destination_st_2020,mode,trip_purpose,previous_trip_purpose,start_time,end_time,duration_min,distance_mi,vehicle_type,vehicle_fuel_type,transit_submode,transit_agency,transit_route,origin_land_use,origin_building_use,destination_land_use,destination_building_use,user_id,trip_taker_household_id,user_age,trip_taker_sex,trip_taker_race_ethnicity,user_employment,trip_taker_wfh,user_income,trip_taker_commute_mode,trip_taker_household_size,trip_taker_household_income,trip_taker_available_vehicles,trip_taker_resident_type,trip_taker_industry,trip_taker_building_type,trip_taker_school_grade_attending,trip_taker_education,trip_taker_tenure,trip_taker_language,trip_taker_home_bgrp_2020,user_home_tract,trip_taker_home_cty_2020,trip_taker_home_st_2020,trip_taker_work_bgrp_2020,user_work_tract,trip_taker_work_cty_2020,trip_taker_work_st_2020,FM_duration_min,FM_fare_USD,depart_hour,origin_vertiport_id,origin_vertiport_tract,arrival_time_at_dest_vertiport,last_hour,LM_duration_min,dest_vertiport_id,dest_vertiport_tract,LM_fare_USD,MM_duration_min,RAM_IVTT_min,RAM_OVTT_min,RAM_Fare_USD,Driving_IVTT_min,Driving_OVTT_min,Driving_Fare_USD,Income_low,Income_mid,Income_high
7274189333490745639,"1 (Tract 203.02, Cook, IL)","203.02 (Cook, IL)","Cook County, IL",Illinois,"1 (Tract 10, Champaign, IL)","10 (Champaign, IL)","Champaign County, IL",Illinois,private_auto,home,eat,1900-01-01 00:26:03,1900-01-01 02:50:02,143,145.6,unknown_vehicle_type,other_non_bev,,,,mixed_use,retail,single_family,single_family,16451489642220854633,16356463274368018081,21.0,female,two_races_not_hispanic_or_latino,employed,employed_not_working,1328.0,private_auto,9.0,17028.0,three_plus,core,naics72,single_family,undergraduate,some_college,renter,spanish,"1 (Tract 10, Champaign, IL)","10 (Champaign, IL)","Champaign County, IL",Illinois,"3 (Tract 12.01, Champaign, IL)","12.01 (Champaign, IL)","Champaign County, IL",Illinois,20.0,29.690769230769234,0,Chicago2_ord,"9800 (Cook, IL)",1900-01-01 02:06:03.000000000,2,5.75,UIUC1,"3.01 (Champaign, IL)",10.813666666666666,70,95.75,10,140.5044358974359,143,3.0,87.36,1,0,0
3229853609722865501,"1 (Tract 9800, Cook, IL)","9800 (Cook, IL)","Cook County, IL",Illinois,"2 (Tract 13.02, Champaign, IL)","13.02 (Champaign, IL)","Champaign County, IL",Illinois,private_auto,social,eat,1900-01-01 22:01:35,1900-01-01 01:07:05,185,149.9,unknown_vehicle_type,other_non_bev,,,,retail,retail,single_family,single_family,246142639501170699,651777851661770080,41.0,male,white_not_hispanic_or_latino,employed,employed_not_working,214098.0,private_auto,4.0,346636.0,two,core,naics92,single_family,not_attending_school,advanced_degree,owner,english,"1 (Tract 13.01, Champaign, IL)","13.01 (Champaign, IL)","Champaign County, IL",Illinois,"2 (Tract 13.01, Champaign, IL)","13.01 (Champaign, IL)","Champaign County, IL",Illinois,18.94117647058824,15.310396960565964,22,Chicago2_ord,"9800 (Cook, IL)",1900-01-01 23:40:31.470588236,23,7.0,UIUC1,"3.01 (Champaign, IL)",12.44331950207469,70,95.94117647058823,10,127.75371646264065,185,3.0,89.94,0,0,1
4564873826026948730,"1 (Tract 9800, Cook, IL)","9800 (Cook, IL)","Cook County, IL",Illinois,"2 (Tract 13.02, Champaign, IL)","13.02 (Champaign, IL)","Champaign County, IL",Illinois,private_auto,social,social,1900-01-01 19:08:42,1900-01-01 21:38:53,150,152.8,unknown_vehicle_type,other_non_bev,,,,retail,retail,single_family,single_family,76045956833810022,8289588129117669136,29.0,male,asian_not_hispanic_or_latino,employed,employed_not_working,28979.0,private_auto,2.0,57959.0,one,core,naics611691,multiple_units,graduate,advanced_degree,renter,asian_pacific,"1 (Tract 13.01, Champaign, IL)","13.01 (Champaign, IL)","Champaign County, IL",Illinois,"1 (Tract 13.01, Champaign, IL)","13.01 (Champaign, IL)","Champaign County, IL",Illinois,22.59433962264151,16.844725484428338,19,Chicago2_ord,"9800 (Cook, IL)",1900-01-01 20:51:17.660377356,20,8.5,UIUC1,"3.01 (Champaign, IL)",13.073319502074689,70,101.09433962264151,10,129.91804498650302,150,3.0,91.68,1,0,0
9908028877551247944,"1 (Tract 1601, Cook, IL)","1601 (Cook, IL)","Cook County, IL",Illinois,"1 (Tract 8, Champaign, IL)","8 (Champaign, IL)","Champaign County, IL",Illinois,private_auto,shop,home,1900-01-01 09:47:00,1900-01-01 12:35:19,168,136.8,unknown_vehicle_type,other_non_bev,,,,single_family,single_family,retail,retail,2532875727261967372,5922539116034519683,61.0,female,white_not_hispanic_or_latino,employed,employed_not_working,59357.0,private_auto,3.0,130585.0,three_plus,core,naics54,single_family,not_attending_school,k_12,owner,english,"1 (Tract 1601, Cook, IL)","1601 (Cook, IL)","Cook County, IL",Illinois,"1 (Tract 9800, Cook, IL)","9800 (Cook, IL)","Cook County, IL",Illinois,17.5,26.494210526315793,9,Chicago2_ord,"9800 (Cook, IL)",1900-01-01 11:24:30.000000000,11,7.380281690140845,UIUC1,"3.01 (Champaign, IL)",12.138692668833514,70,94.88028169014085,10,138.6329031951493,168,3.0,82.08,0,1,0
2007668821629238206,"3 (Tract 1504.02, Cook, IL)","1504.02 (Cook, IL)","Cook County, IL",Illinois,"1 (Tract 3.02, Champaign, IL)","3.02 (Champaign, IL)","Champaign County, IL",Illinois,private_auto,home,eat,1900-01-01 18:43:55,1900-01-01 21:15:18,151,147.2,unknown_vehicle_type,other_non_bev,,,,retail,retail,multi_family,multi_family,8125840051531011587,4559749739329980871,28.0,male,asian_not_hispanic_or_latino,employed,employed_not_working,34729.0,worked_from_home,2.0,53288.0,one,core,naics61,multiple_units,graduate,advanced_degree,renter,asian_pacific,"1 (Tract 3.02, Champaign, IL)","3.02 (Champaign, IL)","Champaign County, IL",Illinois,"1 (Tract 3.02, Champaign, IL)","3.02 (Champaign, IL)","Champaign County, IL",Illinois,16.833333333333332,25.74194805194805,18,Chicago2_ord,"9800 (Cook, IL)",1900-01-01 20:20:44.999999998,20,1.05,UIUC1,"3.01 (Champaign, IL)",5.158955112219451,70,87.88333333333333,10,130.9009031641675,151,3.0,88.32,1,0,0
4665508634085492251,"1 (Tract 9800, Cook, IL)","9800 (Cook, IL)","Cook County, IL",Illinois,"1 (Tract 8, Champaign, IL)","8 (Champaign, IL)","Champaign County, IL",Illinois,auto_passenger,eat,region_arrival,1900-01-01 18:02:00,1900-01-01 20:30:51,148,147.5,unknown_vehicle_type,unknown_fuel_type,,,,transportation_utilities,transportation_utilities,retail,retail,93891001088733300,8350371159757778061,42.0,female,asian_not_hispanic_or_latino,employed,employed_not_working,21738.0,private_auto,4.0,88162.0,two,core,naics812210,single_family,not_attending_school,advanced_degree,owner,english,"1 (Tract 42, Winnebago, IL)","42 (Winnebago, IL)","Winnebago County, IL",Illinois,"2 (Tract 42, Winnebago, IL)","42 (Winnebago, IL)","Winnebago County, IL",Illinois,21.051987767584095,16.196937705304222,18,Chicago2_ord,"9800 (Cook, IL)",1900-01-01 19:43:03.119266056,19,6.662650602409639,UIUC1,"3.01 (Champaign, IL)",11.837287611986408,70,97.71463836999374,10,128.03422531729063,148,3.0,88.5,1,0,0
12093493765388375705,"1 (Tract 9800, Cook, IL)","9800 (Cook, IL)","Cook County, IL",Illinois,"1 (Tract 53, Champaign, IL)","53 (Champaign, IL)","Champaign County, IL",Illinois,auto_passenger,home,other_activity_type,1900-01-01 20:35:21,1900-01-01 22:59:57,144,149.8,unknown_vehicle_type,unknown_fuel_type,,,,transportation_utilities,transportation_utilities,mixed_use,multi_family,8567959590311159511,5079443234367941098,29.0,female,black_not_hispanic_or_latino,employed,employed_not_working,16312.0,public_transit,1.0,16312.0,zero,core,naics62,multiple_units,not_attending_school,some_college,renter,english,"1 (Tract 53, Champaign, IL)","53 (Champaign, IL)","Champaign County, IL",Illinois,"1 (Tract 111, Champaign, IL)","111 (Champaign, IL)","Champaign County, IL",Illinois,21.420289855072465,16.35162458204934,20,Chicago2_ord,"9800 (Cook, IL)",1900-01-01 22:16:46.217391306,22,4.5,UIUC1,"3.01 (Champaign, IL)",8.56788944723618,70,95.92028985507247,10,124.91951402928552,144,3.0,89.88000000000001,1,0,0
16864114139310079368,"1 (Tract 9800, Cook, IL)","9800 (Cook, IL)","Cook County, IL",Illinois,"2 (Tract 111, Champaign, IL)","111 (Champaign, IL)","Champaign County, IL",Illinois,auto_passenger,home,eat,1900-01-01 18:50:31,1900-01-01 21:16:01,145,149.4,unknown_vehicle_type,unknown_fuel_type,,,,retail,retail,single_family,single_family,14605546914641255698,16721895278275686316,23.0,male,asian_not_hispanic_or_latino,employed,employed_not_working,5097.0,walking,1.0,5097.0,zero,core,naics61,multiple_units,graduate,bachelors_degree,renter,asian_pacific,"2 (Tract 111, Champaign, IL)","111 (Champaign, IL)","Champaign County, IL",Illinois,"1 (Tract 111, Champaign, IL)","111 (Champaign, IL)","Champaign County, IL",Illinois,21.051987767584095,16.196937705304222,18,Chicago2_ord,"9800 (Cook, IL)",1900-01-01 20:31:34.119266056,20,3.0,UIUC1,"3.01 (Champaign, IL)",7.08,70,94.0519877675841,10,123.27693770530422,145,3.0,89.64,1,0,0
505527521875964007,"1 (Tract 9800, Cook, IL)","9800 (Cook, IL)","Cook County, IL",Illinois,"2 (Tract 2, Champaign, IL)","2 (Champaign, IL)","Champaign County, IL",Illinois,private_auto,home,other_activity_type,1900-01-01 17:18:39,1900-01-01 20:37:03,198,152.6,unknown_vehicle_type,other_non_bev,,,,transportation_utilities,transportation_utilities,single_family,single_family,12008924920634522942,11239210416605933905,35.0,female,white_not_hispanic_or_latino,employed,employed_not_working,60385.0,private_auto,4.0,120771.0,two,core,naics624410,single_family,not_attending_school,advanced_degree,owner,english,"2 (Tract 2, Champaign, IL)","2 (Champaign, IL)","Champaign County, IL",Illinois,"1 (Tract 59.01, Champaign, IL)","59.01 (Champaign, IL)","Champaign County, IL",Illinois,18.866666666666667,15.279102842918903,17,Chicago2_ord,"9800 (Cook, IL)",1900-01-01 18:57:31.000000002,18,1.9333333333333331,UIUC1,"3.01 (Champaign, IL)",6.197853658536586,70,90.80000000000001,10,121.47695650145549,198,3.0,91.55999999999999,0,1,0
6487935113273980978,"1 (Tract 9800, Cook, IL)","9800 (Cook, IL)","Cook County, IL",Illinois,"2 (Tract 3.02, Champaign, IL)","3.02 (Champaign, IL)","Champaign County, IL",Illinois,private_auto,home,social,1900-01-01 18:06:20,1900-01-01 20:55:31,169,147.3,unknown_vehicle_type,other_non_bev,,,,retail,retail,multi_family,multi_family,3033994050407804960,8281447727406708862,23.0,male,hispanic_or_latino_origin,employed,employed_not_working,17807.0,private_auto,1.0,17807.0,one,core,naics61,multiple_units,graduate,bachelors_degree,renter,english,"2 (Tract 3.02, Champaign, IL)","3.02 (Champaign, IL)","Champaign County, IL",Illinois,"1 (Tract 53, Champaign, IL)","53 (Champaign, IL)","Champaign County, IL",Illinois,21.051987767584095,16.196937705304222,18,Chicago2_ord,"9800 (Cook, IL)",1900-01-01 19:47:23.119266056,19,1.105263157894737,UIUC1,"3.01 (Champaign, IL)",5.182165638535241,70,92.15725092547883,10,121.37910334383946,169,3.0,88.38000000000001,1,0,0
