time,origin,destination,count,duration,energy_consumption,tour_length,cluster_id,tour_revenue,revenue,per_flight_revenue,tour_sequence,served,p,q,p2,q2
5.0,0,2,1,10,15.0,1,0,153.2516319146921,153.2516319146921,153.2516319146921,LAX-LGB,1,85.0,85.0,65.0,72.5
5.0,0,8,1,10,15.0,1,4,25.524421817866624,25.524421817866624,25.524421817866624,LAX-BVH,1,85.0,85.0,70.0,87.5
5.0,0,5,1,15,20.0,1,2,353.0241882384353,353.0241882384353,353.0241882384353,LAX-ANH,1,80.0,80.0,80.0,80.0
5.0,0,4,1,10,15.0,1,3,82.45340130846085,82.45340130846085,82.45340130846085,LAX-UVS,1,85.0,85.0,70.0,72.5
5.0,0,7,1,10,15.0,1,5,39.422171091668844,39.422171091668844,39.422171091668844,LAX-PSD,1,85.0,85.0,85.0,85.0
5.0,0,3,1,15,20.0,1,1,117.8047207865958,117.8047207865958,117.8047207865958,LAX-WDHL,1,80.0,80.0,80.0,80.0
10.0,0,5,1,15,20.0,1,11,353.0241882384353,353.0241882384353,353.0241882384353,LAX-ANH,1,80.0,82.5,82.5,97.5
10.0,0,6,1,10,15.0,1,6,133.37448068391893,133.37448068391893,133.37448068391893,LAX-HWD,1,85.0,90.0,75.0,75.0
10.0,0,7,1,10,15.0,1,7,39.422171091668844,39.422171091668844,39.422171091668844,LAX-PSD,1,85.0,85.0,85.0,85.0
10.0,0,8,1,10,15.0,1,9,25.524421817866624,25.524421817866624,25.524421817866624,LAX-BVH,1,85.0,85.0,70.0,70.0
10.0,0,4,1,10,15.0,1,13,41.22670065423043,41.22670065423043,41.22670065423043,LAX-UVS,1,85.0,85.0,70.0,70.0
10.0,0,1,1,10,15.0,1,10,93.56430707315587,93.56430707315587,93.56430707315587,LAX-DTLA,1,85.0,85.0,85.0,85.0
10.0,1,1,1,20,30.0,2,8,187.12861414631175,,,DTLA-LAX-DTLA,1,70.0,70.0,70.0,70.0
10.0,0,2,1,10,15.0,1,12,51.08387730489737,51.08387730489737,51.08387730489737,LAX-LGB,1,85.0,85.0,65.0,65.0
15.0,1,1,1,20,30.0,2,14,155.9405117885931,,,DTLA-LAX-DTLA,1,70.0,70.0,70.0,70.0
20.0,0,5,1,15,20.0,1,15,353.0241882384353,353.0241882384353,353.0241882384353,LAX-ANH,1,80.0,80.0,80.0,80.0
20.0,0,4,1,10,15.0,1,17,41.22670065423043,41.22670065423043,41.22670065423043,LAX-UVS,1,85.0,85.0,70.0,70.0
20.0,0,6,1,10,15.0,1,16,100.0308605129392,100.0308605129392,100.0308605129392,LAX-HWD,1,85.0,87.5,87.5,87.5
20.0,7,1,1,20,30.0,2,7,132.98647816482472,,,PSD-LAX-DTLA,1,55.0,57.5,57.5,100.0
20.0,5,0,1,15,20.0,1,2,88.25604705960882,88.25604705960882,88.25604705960882,ANH-LAX,1,60.0,60.0,60.0,62.5
25.0,0,8,1,10,15.0,1,20,51.04884363573325,51.04884363573325,51.04884363573325,LAX-BVH,1,85.0,87.5,87.5,87.5
