trip_id,origin_block_group,origin_tract,origin_county,origin_st_2020,destination_block_group,destination_tract,destination_county,destination_st_2020,mode,trip_purpose,previous_trip_purpose,start_time,end_time,duration_min,distance_mi,vehicle_type,vehicle_fuel_type,transit_submode,transit_agency,transit_route,origin_land_use,origin_building_use,destination_land_use,destination_building_use,user_id,trip_taker_household_id,user_age,trip_taker_sex,trip_taker_race_ethnicity,user_employment,trip_taker_wfh,user_income,trip_taker_commute_mode,trip_taker_household_size,trip_taker_household_income,trip_taker_available_vehicles,trip_taker_resident_type,trip_taker_industry,trip_taker_building_type,trip_taker_school_grade_attending,trip_taker_education,trip_taker_tenure,trip_taker_language,trip_taker_home_bgrp_2020,user_home_tract,trip_taker_home_cty_2020,trip_taker_home_st_2020,trip_taker_work_bgrp_2020,user_work_tract,trip_taker_work_cty_2020,trip_taker_work_st_2020,FM_duration_min,FM_fare_USD,depart_hour,origin_vertiport_id,origin_vertiport_tract,arrival_time_at_dest_vertiport,last_hour,LM_duration_min,dest_vertiport_id,dest_vertiport_tract,LM_fare_USD,MM_duration_min,RAM_IVTT_min,RAM_OVTT_min,RAM_Fare_USD,Driving_IVTT_min,Driving_OVTT_min,Driving_Fare_USD,Income_low,Income_mid,Income_high
17866814841595790584,"1 (Tract 5, Champaign, IL)","5 (Champaign, IL)","Champaign County, IL",Illinois,"1 (Tract 9801, Cook, IL)","9801 (Cook, IL)","Cook County, IL",Illinois,auto_passenger,region_departure,maintenance,1900-01-01 16:47:00,1900-01-01 19:00:27,133,132.3,unknown_vehicle_type,unknown_fuel_type,,,,single_family,single_family,transportation_utilities,transportation_utilities,11267009336886436291,,,,,,,,,,,,visitor,,,,,,,Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),2.5806451612903225,6.873379164463247,16,UIUC1,"3.01 (Champaign, IL)",1900-01-01 18:09:34.838709678,18,4.653846153846154,Chicago3_mdw,"9801 (Cook, IL)",8.46744557329463,70,77.23449131513648,10,115.34082473775787,133,3.0,79.38000000000001,0,1,0
10398045603451375609,"4 (Tract 57.01, Champaign, IL)","57.01 (Champaign, IL)","Champaign County, IL",Illinois,"1 (Tract 9801, Cook, IL)","9801 (Cook, IL)","Cook County, IL",Illinois,auto_passenger,region_departure,recreation,1900-01-01 18:37:00,1900-01-01 20:54:52,137,135.8,unknown_vehicle_type,unknown_fuel_type,,,,open_space,open_space,transportation_utilities,transportation_utilities,4167915438551359544,,,,,,,,,,,,visitor,,,,,,,Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),6.652173913043479,11.517270707711837,18,UIUC1,"3.01 (Champaign, IL)",1900-01-01 20:03:39.130434780,20,5.92,Chicago3_mdw,"9801 (Cook, IL)",8.999230188679245,70,82.57217391304349,10,120.5165008963911,137,3.0,81.48,0,1,0
13618147092607666511,"1 (Tract 14, Champaign, IL)","14 (Champaign, IL)","Champaign County, IL",Illinois,"1 (Tract 9801, Cook, IL)","9801 (Cook, IL)","Cook County, IL",Illinois,private_auto,region_departure,maintenance,1900-01-01 16:37:00,1900-01-01 19:10:39,153,132.5,unknown_vehicle_type,unknown_fuel_type,,,,single_family,single_family,transportation_utilities,transportation_utilities,4127197138410404561,,,,,,,,,,,,visitor,,,,,,,Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),3.5338345864661656,7.660864322969586,16,UIUC1,"3.01 (Champaign, IL)",1900-01-01 18:00:32.030075190,18,4.653846153846154,Chicago3_mdw,"9801 (Cook, IL)",8.46744557329463,70,78.18768074031233,10,116.12830989626421,153,3.0,79.5,0,1,0
17843041827830167107,"1 (Tract 8, Champaign, IL)","8 (Champaign, IL)","Champaign County, IL",Illinois,"1 (Tract 9801, Cook, IL)","9801 (Cook, IL)","Cook County, IL",Illinois,auto_passenger,region_departure,eat,1900-01-01 19:28:00,1900-01-01 21:34:16,126,130.2,unknown_vehicle_type,unknown_fuel_type,,,,retail,retail,transportation_utilities,transportation_utilities,3331424642512767294,,,,,,,,,,,,visitor,,,,,,,Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),6.630434782608695,11.997008757105547,19,UIUC1,"3.01 (Champaign, IL)",1900-01-01 20:54:37.826086956,20,5.92,Chicago3_mdw,"9801 (Cook, IL)",8.999230188679245,70,82.55043478260869,10,120.9962389457848,126,3.0,78.11999999999999,0,1,0
15451882354005124525,"1 (Tract 8, Champaign, IL)","8 (Champaign, IL)","Champaign County, IL",Illinois,"1 (Tract 9801, Cook, IL)","9801 (Cook, IL)","Cook County, IL",Illinois,auto_passenger,region_departure,maintenance,1900-01-01 22:58:00,1900-01-01 01:04:27,126,130.2,unknown_vehicle_type,unknown_fuel_type,,,,retail,retail,transportation_utilities,transportation_utilities,5871718023253513632,,,,,,,,,,,,visitor,,,,,,,Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),6.266666666666667,11.844226148409895,22,UIUC1,"3.01 (Champaign, IL)",1900-01-02 00:24:16.000000002,0,3.0,Chicago3_mdw,"9801 (Cook, IL)",7.7728301886792455,70,79.26666666666667,10,119.61705633708914,126,3.0,78.11999999999999,0,1,0
5746228446025915417,"1 (Tract 8, Champaign, IL)","8 (Champaign, IL)","Champaign County, IL",Illinois,"1 (Tract 9801, Cook, IL)","9801 (Cook, IL)","Cook County, IL",Illinois,auto_passenger,region_departure,lodging,1900-01-01 08:29:00,1900-01-01 10:39:29,130,130.3,unknown_vehicle_type,unknown_fuel_type,,,,retail,retail,transportation_utilities,transportation_utilities,342976213318473851,,,,,,,,,,,,visitor,,,,,,,Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),7.6440677966101696,12.422734622986166,8,UIUC1,"3.01 (Champaign, IL)",1900-01-01 09:56:38.644067796,9,4.908163265306122,Chicago3_mdw,"9801 (Cook, IL)",8.574258760107817,70,82.5522310619163,10,120.99699338309398,130,3.0,78.18,0,1,0
8076577472656536646,"2 (Tract 4.01, Champaign, IL)","4.01 (Champaign, IL)","Champaign County, IL",Illinois,"1 (Tract 9801, Cook, IL)","9801 (Cook, IL)","Cook County, IL",Illinois,private_auto,region_departure,social,1900-01-01 19:15:00,1900-01-01 21:35:51,140,128.5,unknown_vehicle_type,unknown_fuel_type,,,,multi_family,multi_family,transportation_utilities,transportation_utilities,13951487847738195712,,,,,,,,,,,,visitor,,,,,,,Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),1.3975903614457832,5.289822090293542,19,UIUC1,"3.01 (Champaign, IL)",1900-01-01 20:36:23.855421684,20,5.92,Chicago3_mdw,"9801 (Cook, IL)",8.999230188679245,70,77.31759036144578,10,114.28905227897279,140,3.0,77.1,0,1,0
6606247144816060847,"1 (Tract 8, Champaign, IL)","8 (Champaign, IL)","Champaign County, IL",Illinois,"1 (Tract 9801, Cook, IL)","9801 (Cook, IL)","Cook County, IL",Illinois,auto_passenger,region_departure,shop,1900-01-01 16:28:00,1900-01-01 18:37:23,129,130.3,unknown_vehicle_type,unknown_fuel_type,,,,office,office,transportation_utilities,transportation_utilities,12204981377692747542,,,,,,,,,,,,visitor,,,,,,,Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),7.610169491525424,12.408497334850573,16,UIUC1,"3.01 (Champaign, IL)",1900-01-01 17:55:36.610169490,17,5.551724137931035,Chicago3_mdw,"9801 (Cook, IL)",8.844554326610279,70,83.16189362945646,10,121.25305166146086,129,3.0,78.18,0,1,0
14648130374256000563,"5 (Tract 10, Champaign, IL)","10 (Champaign, IL)","Champaign County, IL",Illinois,"1 (Tract 9801, Cook, IL)","9801 (Cook, IL)","Cook County, IL",Illinois,private_auto,region_departure,eat,1900-01-01 21:03:00,1900-01-01 23:13:59,130,127.7,unknown_vehicle_type,unknown_fuel_type,,,,retail,retail,transportation_utilities,transportation_utilities,14938009110092551575,,,,,,,,,,,,visitor,,,,,,,Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),6.153846153846154,11.049996550534667,21,UIUC1,"3.01 (Champaign, IL)",1900-01-01 22:29:09.230769228,22,3.333333333333333,Chicago3_mdw,"9801 (Cook, IL)",7.912830188679245,70,79.48717948717949,10,118.96282673921392,130,3.0,76.62,0,1,0
13659369108183350948,"1 (Tract 12.01, Champaign, IL)","12.01 (Champaign, IL)","Champaign County, IL",Illinois,"3 (Tract 6609, Cook, IL)","6609 (Cook, IL)","Cook County, IL",Illinois,auto_passenger,recreation,lodging,1900-01-01 18:46:00,1900-01-01 20:53:00,127,130.3,unknown_vehicle_type,unknown_fuel_type,,,,retail,retail,open_space,open_space,16775556093030602510,,,,,,,,,,,,visitor,,,,,,,Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),6.7,12.120092715231788,18,UIUC1,"3.01 (Champaign, IL)",1900-01-01 20:12:42.000000000,20,9.545454545454543,Chicago3_mdw,"9801 (Cook, IL)",13.981023682200151,70,86.24545454545455,10,126.10111639743194,127,3.0,78.18,0,1,0
