trip_id,origin_block_group,origin_tract,origin_county,origin_st_2020,destination_block_group,destination_tract,destination_county,destination_st_2020,mode,trip_purpose,previous_trip_purpose,start_time,end_time,duration_min,distance_mi,vehicle_type,vehicle_fuel_type,transit_submode,transit_agency,transit_route,origin_land_use,origin_building_use,destination_land_use,destination_building_use,user_id,trip_taker_household_id,user_age,trip_taker_sex,trip_taker_race_ethnicity,user_employment,trip_taker_wfh,user_income,trip_taker_commute_mode,trip_taker_household_size,trip_taker_household_income,trip_taker_available_vehicles,trip_taker_resident_type,trip_taker_industry,trip_taker_building_type,trip_taker_school_grade_attending,trip_taker_education,trip_taker_tenure,trip_taker_language,trip_taker_home_bgrp_2020,user_home_tract,trip_taker_home_cty_2020,trip_taker_home_st_2020,trip_taker_work_bgrp_2020,user_work_tract,trip_taker_work_cty_2020,trip_taker_work_st_2020,FM_duration_min,FM_fare_USD,depart_hour,origin_vertiport_id,origin_vertiport_tract,arrival_time_at_dest_vertiport,last_hour,LM_duration_min,dest_vertiport_id,dest_vertiport_tract,LM_fare_USD,MM_duration_min,RAM_IVTT_min,RAM_OVTT_min,RAM_Fare_USD,Driving_IVTT_min,Driving_OVTT_min,Driving_Fare_USD,Income_low,Income_mid,Income_high
97475084316248548,"1 (Tract 57.01, Champaign, IL)","57.01 (Champaign, IL)","Champaign County, IL",Illinois,"1 (Tract 9800, Cook, IL)","9800 (Cook, IL)","Cook County, IL",Illinois,auto_passenger,region_departure,lodging,1900-01-01 20:08:00,1900-01-01 23:26:14,198,150.1,unknown_vehicle_type,unknown_fuel_type,,,,non_retail_attraction,non_retail_attraction,transportation_utilities,transportation_utilities,5851474047297202470,,,,,,,,,,,,visitor,,,,,,,Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),6.4,11.411357664233577,20,UIUC1,"3.01 (Champaign, IL)",1900-01-01 21:34:24.000000000,21,19.76315789473684,Chicago2_ord,"9800 (Cook, IL)",15.655629158708376,70,96.16315789473684,10,127.06698682294196,198,3.0,90.05999999999999,0,1,0
16065169558251508201,"1 (Tract 8, Champaign, IL)","8 (Champaign, IL)","Champaign County, IL",Illinois,"1 (Tract 9800, Cook, IL)","9800 (Cook, IL)","Cook County, IL",Illinois,auto_passenger,region_departure,shop,1900-01-01 17:39:00,1900-01-01 20:18:40,159,151.1,unknown_vehicle_type,unknown_fuel_type,,,,office,office,transportation_utilities,transportation_utilities,2724847060680425144,,,,,,,,,,,,visitor,,,,,,,Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),7.0,12.152226148409895,17,UIUC1,"3.01 (Champaign, IL)",1900-01-01 19:06:00.000000000,19,22.59433962264151,Chicago2_ord,"9800 (Cook, IL)",16.844725484428338,70,99.59433962264151,10,128.99695163283823,159,3.0,90.66,0,1,0
1321574365508138127,"3 (Tract 8, Champaign, IL)","8 (Champaign, IL)","Champaign County, IL",Illinois,"1 (Tract 1607, Cook, IL)","1607 (Cook, IL)","Cook County, IL",Illinois,auto_passenger,lodging,maintenance,1900-01-01 17:49:39,1900-01-01 20:06:56,137,139.5,unknown_vehicle_type,unknown_fuel_type,,,,office,office,non_retail_attraction,non_retail_attraction,16462056328166431187,,,,,,,,,,,,visitor,,,,,,,Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),7.0,12.152226148409895,17,UIUC1,"3.01 (Champaign, IL)",1900-01-01 19:16:39.000000000,19,21.0,Chicago2_ord,"9800 (Cook, IL)",33.093333333333334,70,98.0,10,145.24555948174321,137,3.0,83.7,0,1,0
18419843932403717632,"1 (Tract 8, Champaign, IL)","8 (Champaign, IL)","Champaign County, IL",Illinois,"1 (Tract 9800, Cook, IL)","9800 (Cook, IL)","Cook County, IL",Illinois,auto_passenger,region_departure,eat,1900-01-01 20:17:00,1900-01-01 22:38:38,141,149.5,unknown_vehicle_type,unknown_fuel_type,,,,retail,retail,transportation_utilities,transportation_utilities,4782673283401551296,,,,,,,,,,,,visitor,,,,,,,Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),6.67741935483871,12.016742277442152,20,UIUC1,"3.01 (Champaign, IL)",1900-01-01 21:43:40.645161288,21,19.76315789473684,Chicago2_ord,"9800 (Cook, IL)",15.655629158708376,70,96.44057724957554,10,127.67237143615053,141,3.0,89.7,0,1,0
7746843622839889163,"1 (Tract 3.01, Champaign, IL)","3.01 (Champaign, IL)","Champaign County, IL",Illinois,"1 (Tract 9800, Cook, IL)","9800 (Cook, IL)","Cook County, IL",Illinois,auto_passenger,region_departure,shop,1900-01-01 19:09:00,1900-01-01 22:21:56,192,147.0,unknown_vehicle_type,unknown_fuel_type,,,,retail,retail,transportation_utilities,transportation_utilities,4435758616917299003,,,,,,,,,,,,visitor,,,,,,,Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),0.903448275862069,4.956630556181604,19,UIUC1,"3.01 (Champaign, IL)",1900-01-01 20:29:54.206896554,20,21.420289855072465,Chicago2_ord,"9800 (Cook, IL)",16.35162458204934,70,92.32373813093454,10,121.30825513823095,192,3.0,88.2,0,1,0
14453998110696558948,"3 (Tract 3.02, Champaign, IL)","3.02 (Champaign, IL)","Champaign County, IL",Illinois,"1 (Tract 9800, Cook, IL)","9800 (Cook, IL)","Cook County, IL",Illinois,private_auto,other_activity_type,lodging,1900-01-01 18:36:00,1900-01-01 21:25:44,169,139.5,unknown_vehicle_type,unknown_fuel_type,,,,single_family,single_family,transportation_utilities,transportation_utilities,9871250700772138040,,,,,,,,,,,,visitor,,,,,,,Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),1.2121212121212122,5.183941857600394,18,UIUC1,"3.01 (Champaign, IL)",1900-01-01 19:57:12.727272726,19,22.59433962264151,Chicago2_ord,"9800 (Cook, IL)",16.844725484428338,70,93.80646083476273,10,122.02866734202873,169,3.0,83.7,0,1,0
2939398138587361451,"4 (Tract 58, Champaign, IL)","58 (Champaign, IL)","Champaign County, IL",Illinois,"1 (Tract 9800, Cook, IL)","9800 (Cook, IL)","Cook County, IL",Illinois,auto_passenger,region_departure,lodging,1900-01-01 19:57:00,1900-01-01 22:25:28,148,152.6,unknown_vehicle_type,unknown_fuel_type,,,,single_family,single_family,transportation_utilities,transportation_utilities,13791940940414664500,,,,,,,,,,,,visitor,,,,,,,Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),3.4166666666666665,7.5875301204819285,19,UIUC1,"3.01 (Champaign, IL)",1900-01-01 21:20:25.000000002,21,19.76315789473684,Chicago2_ord,"9800 (Cook, IL)",15.655629158708376,70,93.1798245614035,10,123.24315927919031,148,3.0,91.55999999999999,0,1,0
3838173375785034336,"1 (Tract 8, Champaign, IL)","8 (Champaign, IL)","Champaign County, IL",Illinois,"1 (Tract 9800, Cook, IL)","9800 (Cook, IL)","Cook County, IL",Illinois,auto_passenger,region_departure,lodging,1900-01-01 18:30:19,1900-01-01 20:51:16,140,149.4,unknown_vehicle_type,unknown_fuel_type,,,,retail,retail,transportation_utilities,transportation_utilities,13505264092612231818,,,,,,,,,,,,visitor,,,,,,,Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),7.183098591549296,12.229127556860599,18,UIUC1,"3.01 (Champaign, IL)",1900-01-01 19:57:29.985915490,19,22.59433962264151,Chicago2_ord,"9800 (Cook, IL)",16.844725484428338,70,99.77743821419081,10,129.07385304128894,140,3.0,89.64,0,1,0
11801086299332671972,"1 (Tract 13.02, Champaign, IL)","13.02 (Champaign, IL)","Champaign County, IL",Illinois,"1 (Tract 9800, Cook, IL)","9800 (Cook, IL)","Cook County, IL",Illinois,auto_passenger,region_departure,eat,1900-01-01 21:46:00,1900-01-01 00:15:05,149,157.2,unknown_vehicle_type,unknown_fuel_type,,,,retail,retail,transportation_utilities,transportation_utilities,10966587978044028273,,,,,,,,,,,,visitor,,,,,,,Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),7.6,13.176682926829269,21,UIUC1,"3.01 (Champaign, IL)",1900-01-01 23:13:36.000000000,23,27.166666666666668,Chicago2_ord,"9800 (Cook, IL)",18.765102842918903,70,104.76666666666667,10,131.94178576974818,149,3.0,94.32,0,1,0
9913670281434137009,"1 (Tract 58, Champaign, IL)","58 (Champaign, IL)","Champaign County, IL",Illinois,"3 (Tract 310, Cook, IL)","310 (Cook, IL)","Cook County, IL",Illinois,auto_passenger,maintenance,maintenance,1900-01-01 13:32:00,1900-01-01 16:02:41,150,142.5,unknown_vehicle_type,unknown_fuel_type,,,,single_family,single_family,mixed_use,retail,15556373847524243917,,,,,,,,,,,,visitor,,,,,,,Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no home location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),Visitor (no work/school location),3.5121951219512195,7.627652071701441,13,UIUC1,"3.01 (Champaign, IL)",1900-01-01 14:55:30.731707319,14,30.58333333333333,Chicago2_ord,"9800 (Cook, IL)",37.97928571428572,70,104.09552845528455,10,145.60693778598716,150,3.0,85.5,0,1,0
